index,name,airmass,jd,mag04,mag05,mag06,mag07,mag08,mag09,mag10,mag11,mag12,mag13,mag14,mag15,magerr04,magerr05,magerr06,magerr07,magerr08,magerr09,magerr10,magerr11,magerr12,magerr13,magerr14,magerr15
1,comp1,1.485397,57723.186123,-14.7498,-15.2333,-15.5179,-15.7310,-15.8622,-15.9510,-15.9932,-16.0225,-16.0424,-16.0592,-16.0722,-16.0836,0.0009,0.0007,0.0006,0.0006,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
2,comp2,1.485397,57723.186123,-14.7013,-15.0377,-15.2312,-15.3254,-15.3862,-15.4217,-15.4492,-15.4670,-15.4826,-15.4938,-15.5036,-15.5114,0.0009,0.0008,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
0,target,1.485397,57723.186123,-14.7739,-15.2378,-15.5740,-15.7913,-15.9417,-16.0312,-16.0963,-16.1307,-16.1520,-16.1680,-16.1818,-16.1929,0.0009,0.0007,0.0006,0.0006,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
