index,name,airmass,jd,mag04,mag05,mag06,mag07,mag08,mag09,mag10,mag11,mag12,mag13,mag14,mag15,magerr04,magerr05,magerr06,magerr07,magerr08,magerr09,magerr10,magerr11,magerr12,magerr13,magerr14,magerr15
65,J030503.500+061502.333,1.920000,58427.192639,-9.3797,-9.6967,-9.9222,-10.0836,-10.1887,-10.2641,-10.3352,-10.3918,-10.4314,-10.4594,-10.4744,-10.4868,0.0392,0.0365,0.0354,0.0354,0.0366,0.0383,0.0397,0.0414,0.0435,0.0459,0.0486,0.0515
7,J030505.090+060514.277,1.920000,58427.192639,-8.1988,-8.6167,-8.8970,-9.0700,-9.1940,-9.2978,-9.4123,-9.5292,-9.6207,-9.6967,-9.7650,-9.8346,0.1137,0.0966,0.0895,0.0889,0.0905,0.0923,0.0922,0.0911,0.0912,0.0922,0.0931,0.0936
96,J030506.068+061653.117,1.920000,58427.192639,-10.5298,-10.8537,-11.0803,-11.2363,-11.3512,-11.4361,-11.4959,-11.5334,-11.5600,-11.5853,-11.6079,-11.6223,0.0146,0.0133,0.0128,0.0128,0.0130,0.0134,0.0140,0.0148,0.0157,0.0165,0.0174,0.0183
15,J030507.795+060557.194,1.920000,58427.192639,-11.3044,-11.6365,-11.8574,-12.0136,-12.1182,-12.1929,-12.2462,-12.2865,-12.3148,-12.3368,-12.3510,-12.3620,0.0078,0.0070,0.0067,0.0066,0.0068,0.0070,0.0073,0.0077,0.0081,0.0085,0.0090,0.0095
60,J030507.832+061416.963,1.920000,58427.192639,-8.4544,-8.7592,-8.9623,-9.0952,-9.1940,-9.2499,-9.2441,-9.2514,-9.2949,-9.3414,-9.3362,-9.2961,0.0903,0.0847,0.0842,0.0868,0.0903,0.0965,0.1075,0.1176,0.1230,0.1276,0.1380,0.1534
14,J030507.940+060458.313,1.920000,58427.192639,-9.3628,-9.6982,-9.9029,-10.0572,-10.1924,-10.2913,-10.3374,-10.3495,-10.3556,-10.3727,-10.3852,-10.4029,0.0396,0.0365,0.0359,0.0363,0.0364,0.0373,0.0397,0.0431,0.0466,0.0497,0.0528,0.0556
55,J030508.298+055642.123,1.920000,58427.192639,-7.9207,-8.1796,-8.3414,-8.4747,-8.5319,-8.5175,-8.4434,-8.3634,-8.0645,-7.5830,-6.4662,99.0000,0.1467,0.1431,0.1488,0.1528,0.1658,0.1886,0.2244,0.2653,0.3814,0.6428,1.9372,99.0000
17,J030508.991+060642.639,1.920000,58427.192639,-11.0000,-11.3289,-11.5457,-11.7019,-11.8134,-11.8918,-11.9458,-11.9847,-12.0126,-12.0353,-12.0562,-12.0750,0.0099,0.0090,0.0086,0.0086,0.0087,0.0091,0.0095,0.0100,0.0105,0.0111,0.0117,0.0122
128,J030509.375+061855.121,1.920000,58427.192639,-10.6233,-10.9555,-11.1886,-11.3474,-11.4563,-11.5210,-11.5538,-11.5720,-11.5815,-11.5868,-11.5817,-11.5683,0.0134,0.0122,0.0117,0.0116,0.0119,0.0124,0.0130,0.0138,0.0146,0.0155,0.0165,0.0176
33,J030510.727+060046.692,1.920000,58427.192639,-12.0900,-12.4186,-12.6536,-12.8123,-12.9219,-12.9979,-13.0512,-13.0897,-13.1173,-13.1382,-13.1545,-13.1665,0.0044,0.0039,0.0036,0.0036,0.0036,0.0036,0.0038,0.0039,0.0041,0.0043,0.0045,0.0047
34,J030510.852+060045.892,1.920000,58427.192639,-12.0900,-12.4186,-12.6536,-12.8123,-12.9219,-12.9979,-13.0512,-13.0897,-13.1173,-13.1382,-13.1545,-13.1665,0.0044,0.0039,0.0036,0.0036,0.0036,0.0036,0.0038,0.0039,0.0041,0.0043,0.0045,0.0047
32,J030512.266+060116.897,1.920000,58427.192639,-8.6367,-8.9700,-9.2109,-9.3837,-9.5081,-9.6158,-9.6736,-9.7118,-9.7299,-9.7381,-9.8047,-9.8601,0.0765,0.0701,0.0672,0.0667,0.0679,0.0691,0.0726,0.0771,0.0826,0.0887,0.0898,0.0914
23,J030512.551+060521.736,1.920000,58427.192639,-7.8605,-8.1762,-8.3871,-8.5293,-8.5715,-8.5326,-8.4937,-8.4025,-8.2985,-8.2498,-8.1914,-8.0934,0.1552,0.1441,0.1424,0.1454,0.1598,0.1863,0.2140,0.2562,0.3072,0.3480,0.3956,0.4634
59,J030513.163+061326.226,1.920000,58427.192639,-8.9826,-9.3151,-9.5010,-9.6466,-9.7745,-9.8754,-9.9493,-9.9983,-10.0411,-10.0676,-10.0778,-10.0876,0.0559,0.0514,0.0517,0.0526,0.0533,0.0545,0.0565,0.0593,0.0621,0.0656,0.0699,0.0742
36,J030514.167+060854.406,1.920000,58427.192639,-12.6191,-12.9552,-13.1670,-13.3201,-13.4172,-13.4882,-13.5351,-13.5692,-13.5919,-13.6081,-13.6202,-13.6291,0.0031,0.0027,0.0025,0.0025,0.0025,0.0025,0.0026,0.0027,0.0028,0.0029,0.0031,0.0032
29,J030514.742+060248.856,1.920000,58427.192639,-8.5527,-8.8931,-9.1839,-9.3215,-9.3815,-9.3874,-9.3852,-9.3723,-9.3096,-9.2505,-9.1956,-9.1309,0.0827,0.0752,0.0689,0.0707,0.0762,0.0851,0.0946,0.1051,0.1215,0.1387,0.1572,0.1785
127,J030515.204+061815.758,1.920000,58427.192639,-8.3616,-8.6939,-8.9214,-9.0337,-9.1343,-9.2404,-9.3478,-9.3924,-9.3692,-9.3468,-9.3286,-9.3047,0.0985,0.0897,0.0875,0.0916,0.0957,0.0972,0.0980,0.1032,0.1150,0.1269,0.1391,0.1521
108,J030515.464+055328.074,1.920000,58427.192639,-12.1193,-12.4613,-12.7016,-12.8658,-12.9807,-13.0575,-13.1121,-13.1482,-13.1737,-13.1926,-13.2068,-13.2159,0.0043,0.0038,0.0035,0.0034,0.0034,0.0035,0.0036,0.0037,0.0039,0.0041,0.0043,0.0045
28,J030516.245+060545.925,1.920000,58427.192639,-10.0343,-10.3631,-10.5980,-10.7440,-10.8367,-10.9021,-10.9502,-10.9728,-10.9876,-11.0007,-11.0148,-11.0237,0.0221,0.0201,0.0194,0.0196,0.0205,0.0216,0.0228,0.0245,0.0263,0.0280,0.0298,0.0315
87,J030516.845+061505.166,1.920000,58427.192639,-8.8872,-9.2550,-9.4859,-9.6118,-9.6838,-9.7425,-9.7919,-9.8420,-9.8726,-9.8649,-9.8273,-9.7894,0.0609,0.0543,0.0524,0.0543,0.0578,0.0615,0.0652,0.0684,0.0725,0.0790,0.0880,0.0976
70,J030518.671+061333.642,1.920000,58427.192639,-8.1314,-8.4525,-8.6600,-8.8172,-8.9770,-9.1283,-9.1936,-9.1922,-9.2229,-9.2725,-9.3265,-9.3635,0.1209,0.1122,0.1111,0.1120,0.1103,0.1078,0.1126,0.1240,0.1314,0.1360,0.1393,0.1442
114,J030522.729+061625.452,1.920000,58427.192639,-10.1350,-10.4883,-10.7049,-10.8614,-10.9645,-11.0455,-11.1078,-11.1488,-11.1795,-11.2046,-11.2149,-11.2193,0.0202,0.0182,0.0176,0.0177,0.0183,0.0190,0.0198,0.0209,0.0221,0.0233,0.0248,0.0264
107,J030522.829+061526.233,1.920000,58427.192639,-8.0278,-8.3768,-8.5744,-8.7355,-8.8165,-8.8124,-8.7714,-8.7198,-8.7593,-8.8083,-8.8597,-8.9099,0.1327,0.1200,0.1197,0.1204,0.1275,0.1440,0.1658,0.1915,0.2010,0.2083,0.2138,0.2187
80,J030523.007+061312.698,1.920000,58427.192639,-8.7062,-9.0293,-9.2294,-9.3537,-9.4559,-9.5485,-9.6164,-9.6200,-9.6375,-9.6909,-9.7217,-9.7304,0.0720,0.0664,0.0662,0.0686,0.0712,0.0734,0.0766,0.0838,0.0900,0.0926,0.0970,0.1029
53,J030524.645+060942.006,1.920000,58427.192639,-10.9929,-11.3204,-11.5373,-11.6846,-11.7846,-11.8524,-11.8946,-11.9184,-11.9337,-11.9370,-11.9306,-11.9192,0.0099,0.0090,0.0087,0.0087,0.0090,0.0094,0.0099,0.0106,0.0113,0.0121,0.0130,0.0141
64,J030525.555+061050.855,1.920000,58427.192639,-9.4229,-9.7533,-9.9631,-10.1026,-10.1772,-10.2259,-10.2565,-10.2755,-10.2993,-10.2947,-10.2795,-10.2554,0.0377,0.0347,0.0340,0.0348,0.0369,0.0397,0.0427,0.0461,0.0490,0.0533,0.0581,0.0637
44,J030525.755+060636.830,1.920000,58427.192639,-10.5663,-10.9070,-11.1234,-11.2844,-11.3884,-11.4706,-11.5264,-11.5661,-11.5950,-11.6175,-11.6330,-11.6503,0.0140,0.0127,0.0123,0.0123,0.0126,0.0130,0.0136,0.0144,0.0152,0.0161,0.0170,0.0179
48,J030526.336+060237.518,1.920000,58427.192639,-9.9537,-10.2835,-10.5121,-10.6719,-10.7725,-10.8409,-10.8852,-10.9211,-10.9524,-10.9599,-10.9634,-10.9695,0.0237,0.0217,0.0209,0.0209,0.0217,0.0228,0.0242,0.0257,0.0271,0.0291,0.0312,0.0331
135,J030527.101+061702.088,1.920000,58427.192639,-13.4685,-13.8135,-14.0391,-14.2022,-14.3124,-14.3885,-14.4419,-14.4797,-14.5067,-14.5267,-14.5416,-14.5523,0.0018,0.0016,0.0015,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0015,0.0015,0.0016
112,J030527.155+061520.618,1.920000,58427.192639,-8.8727,-9.2487,-9.4686,-9.6398,-9.7460,-9.8170,-9.8646,-9.9185,-9.9511,-9.9766,-9.9987,-10.0196,0.0614,0.0546,0.0531,0.0529,0.0546,0.0575,0.0610,0.0638,0.0674,0.0714,0.0751,0.0790
61,J030527.545+060103.488,1.920000,58427.192639,-11.0694,-11.4202,-11.6511,-11.8208,-11.9320,-12.0191,-12.0748,-12.1156,-12.1428,-12.1630,-12.1801,-12.1966,0.0093,0.0083,0.0079,0.0078,0.0079,0.0081,0.0085,0.0089,0.0094,0.0099,0.0104,0.0110
